;;Student;Topic;Preference_Rank;Rank
Rank_7;18;27;12;2;7
Rank_7;19;28;5;1;7
Rank_7;20;29;5;1;7
Rank_7;21;30;10;1;7
Rank_7;22;3;1;1;7
Rank_7;23;4;3;1;7
Rank_7;24;5;6;1;7
Rank_7;25;6;12;1;7
Rank_7;26;7;1;1;7
Rank_7;27;8;13;2;7
Rank_7;28;9;6;2;7
Rank_7;29;10;12;3;7
Rank_8;0;1;3;2;8
Rank_8;1;11;13;1;8
Rank_8;2;12;3;2;8
Rank_8;3;13;2;1;8
Rank_8;4;14;4;3;8
Rank_8;5;15;5;2;8
Rank_8;6;16;4;2;8
Rank_8;7;17;4;2;8
Rank_8;8;18;11;3;8
Rank_8;9;19;1;1;8
Rank_8;10;20;11;1;8
Rank_8;11;2;10;1;8
Rank_8;12;21;13;1;8
Rank_8;13;22;2;1;8
Rank_8;14;23;10;2;8
Rank_8;15;24;11;1;8
Rank_8;16;25;2;1;8
Rank_8;17;26;6;2;8
Rank_8;18;27;12;2;8
Rank_8;19;28;5;1;8
Rank_8;20;29;5;1;8
Rank_8;21;30;10;1;8
Rank_8;22;3;1;1;8
Rank_8;23;4;3;1;8
Rank_8;24;5;6;1;8
Rank_8;25;6;12;1;8
Rank_8;26;7;1;1;8
Rank_8;27;8;13;2;8
Rank_8;28;9;6;2;8
Rank_8;29;10;12;3;8
Rank_9;0;1;3;2;9
Rank_9;1;11;13;1;9
Rank_9;2;12;3;2;9
Rank_9;3;13;2;1;9
Rank_9;4;14;6;2;9
Rank_9;5;15;5;2;9
Rank_9;6;16;4;2;9
Rank_9;7;17;4;2;9
Rank_9;8;18;11;3;9
Rank_9;9;19;1;1;9
Rank_9;10;20;11;1;9
Rank_9;11;2;10;1;9
Rank_9;12;21;13;1;9
Rank_9;13;22;2;1;9
Rank_9;14;23;10;2;9
Rank_9;15;24;11;1;9
Rank_9;16;25;2;1;9
Rank_9;17;26;1;1;9
Rank_9;18;27;12;2;9
Rank_9;19;28;5;1;9
Rank_9;20;29;5;1;9
Rank_9;21;30;10;1;9
Rank_9;22;3;1;1;9
Rank_9;23;4;3;1;9
Rank_9;24;5;6;1;9
Rank_9;25;6;12;1;9
Rank_9;26;7;4;3;9
Rank_9;27;8;13;2;9
Rank_9;28;9;6;2;9
Rank_9;29;10;12;3;9
Rank_10;0;1;3;2;10
Rank_10;1;11;13;1;10
Rank_10;2;12;3;2;10
Rank_10;3;13;2;1;10
Rank_10;4;14;6;2;10
Rank_10;5;15;2;1;10
Rank_10;6;16;4;2;10
Rank_10;7;17;4;2;10
Rank_10;8;18;11;3;10
Rank_10;9;19;1;1;10
Rank_10;10;20;11;1;10
Rank_10;11;2;10;1;10
Rank_10;12;21;13;1;10
Rank_10;13;22;2;1;10
Rank_10;14;23;10;2;10
Rank_10;15;24;11;1;10
Rank_10;16;25;5;2;10
Rank_10;17;26;1;1;10
Rank_10;18;27;12;2;10
Rank_10;19;28;5;1;10
Rank_10;20;29;5;1;10
Rank_10;21;30;10;1;10
Rank_10;22;3;1;1;10
Rank_10;23;4;3;1;10
Rank_10;24;5;6;1;10
Rank_10;25;6;12;1;10
Rank_10;26;7;4;3;10
Rank_10;27;8;13;2;10
Rank_10;28;9;6;2;10
Rank_10;29;10;12;3;10
